bname,btype
evntid,i
ihel,b
q_l,F
gpart,I
q[gpart],I
p[gpart],F
b[gpart],F
cx[gpart],F
cy[gpart],F
cz[gpart],F
vz[gpart],F
dc_sect[gpart],b
tl1_cx[gpart],F
tl1_cy[gpart],F
ec_sect[gpart],b
ec_r[gpart],F
ec_t[gpart],F
ec_ei[gpart],F
ec_eo[gpart],F
etot[gpart],F
cc_sect[gpart],b
cc_r[gpart],F
cc_t[gpart],F
nphe[gpart],s
cc_c2[gpart],F
sc_sect[gpart],b
sc_r[gpart],F
sc_t[gpart],F
edep[gpart],F
sc_pd[gpart],b
cc_segm[gpart],s
ech_x[gpart],F
ech_y[gpart],F
ech_z[gpart],F
tl1_x[gpart],F
tl1_y[gpart],F
tl1_z[gpart],F
tl3_x[gpart],F
tl3_y[gpart],F
tl3_z[gpart],F
tl3_cx[gpart],F
tl3_cy[gpart],F
tl3_cz[gpart],F
id[gpart],I
vx[gpart],F
vy[gpart],F

