W/D	Q2	xs1	e1	xs2	e2	xs3	e3	xs4	e4	xs1b	e1b	xs2b	e2b	xs3b	e3b	xs4b	e4b
1.725	1.550	753.558344	89.913255	886.312921	97.512170	804.985968	92.930748	769.321104	90.848781	772.756029	66.844343	600.536289	66.844343	772.756029	66.844343	772.756029	66.844343
1.775	1.550	2196.512562	223.746183	2287.868573	228.351740	2147.273077	221.224096	2121.616656	219.898490	2082.692859	118.642493	3323.565332	118.642493	2082.692881	118.642493	2082.692902	118.642493
1.825	1.550	1082.773867	189.270678	1165.921364	196.403438	1264.904731	204.570668	1209.451138	200.036211	1217.183068	164.296159	1327.752531	164.296159	1217.182913	164.296159	1217.183101	164.296159
1.875	1.550	1226.215284	153.402421	1090.042053	144.634027	1173.769315	150.086015	1110.682397	145.996954	1260.171030	152.449952	1073.189736	152.449952	1260.168574	152.449952	1260.158214	152.449952
1.925	1.550	1766.488253	172.716944	1680.139231	168.442704	1794.632676	174.087406	1751.137721	171.964864	1884.573558	116.017344	1728.525109	116.017344	1883.912886	116.017344	1884.577534	116.017344
1.975	1.550	1428.645856	195.327931	1348.025765	189.736618	1475.886450	198.531092	1438.611754	196.008028	1629.221910	120.112415	1509.538551	120.112415	1600.170882	120.112415	1629.221911	120.112415
2.025	1.550	1196.194136	163.912639	1117.264358	158.412548	1198.205235	164.050370	1196.057135	163.903252	1360.771087	106.471162	1218.523127	106.471162	1285.088683	106.471162	1360.777040	106.471162
2.075	1.550	1038.763653	161.514318	935.303234	153.260018	1085.189158	165.084150	1031.527143	160.950743	1411.881072	138.162998	1364.773565	138.162998	1322.209488	138.162998	1411.903687	138.162998
2.125	1.550	980.571697	194.726903	940.500341	190.706616	977.817959	194.453285	982.632665	194.931435	1210.944930	125.448581	1153.134688	125.448581	1210.944964	125.448581	1210.945280	125.448581
2.175	1.550	1075.094865	150.552715	1065.023519	149.845877	1070.424123	150.225322	1078.192809	150.769472	1087.467709	90.646994	1063.075486	90.646994	1087.467708	90.646994	1087.467722	90.646994
2.225	1.550	752.949187	169.226404	743.216432	168.129121	744.409907	168.264060	757.609827	169.749338	981.455573	119.217688	956.794543	119.217688	981.455573	119.217688	981.455573	119.217688
2.275	1.550	828.214716	137.145566	867.910678	140.393764	826.145418	136.974130	830.188681	137.308905	907.698966	85.393559	913.725138	85.393559	907.698966	85.393559	907.698966	85.393559
2.325	1.550	815.706024	150.147839	875.750628	155.575957	812.586655	149.860471	818.021856	150.360827	937.682340	84.189932	1006.808757	84.189932	937.682340	84.189932	937.682340	84.189932
2.375	1.550	612.807386	121.362899	654.630805	125.435991	608.512599	120.936873	616.052535	121.683816	761.865864	65.929810	821.563198	65.929810	761.865868	65.929810	761.865864	65.929810
2.425	1.550	528.442918	96.761148	573.655691	100.815573	520.353598	96.017689	531.307697	97.023073	593.490037	55.946470	647.079334	55.946470	593.490037	55.946470	593.490037	55.946470
2.475	1.550	511.911921	97.023046	551.108405	100.669010	504.852025	96.351689	514.306537	97.249708	545.756693	50.649698	595.609971	50.649698	545.756693	50.649698	545.756693	50.649698
2.525	1.550	453.399118	87.281509	466.186277	88.503746	426.313899	84.634349	426.929989	84.695482	494.597478	44.664196	495.894733	44.664196	494.597483	44.664196	485.936389	44.664196
2.575	1.550	446.454277	82.463106	486.951616	86.121999	434.205931	81.324064	439.507237	81.819009	510.404078	40.619944	464.409446	40.619944	494.469212	40.619944	494.469210	40.619944
2.625	1.550	420.402602	78.827228	449.115788	81.474690	389.672587	75.891560	421.040782	78.887036	445.410733	37.329704	435.060529	37.329704	391.868910	37.329704	445.410733	37.329704
2.675	1.550	441.140238	77.864006	470.410807	80.405740	409.526211	75.022108	442.300834	77.966365	466.394779	36.219835	505.524411	36.219835	413.280519	36.219835	466.394779	36.219835
2.725	1.550	321.800267	57.723216	353.504932	60.499956	274.616804	53.323773	322.610908	57.795875	366.620216	32.530213	319.117172	32.530213	315.655652	32.530213	366.620216	32.530213
2.775	1.550	300.948038	59.898003	319.591779	61.725467	182.280326	46.616158	178.329881	46.108250	197.585884	34.142883	227.850195	34.142883	197.585850	34.142883	197.585910	34.142883
