particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
e,1,2,0.7677,0.0172,1,1.750,5.250
e,2,2,1.0527,0.0308,1,1.750,5.250
e,3,2,0.7801,0.0177,1,1.750,5.250
e,4,2,0.7021,0.0179,1,1.750,5.250
e,5,2,8.2419,0.5469,0,1.750,5.250
e,6,2,0.9473,0.0215,1,1.750,5.250
e,1,3,0.8674,0.0079,1,1.750,5.250
e,2,3,0.9829,0.0098,1,1.750,5.250
e,3,3,0.8407,0.0079,1,1.750,5.250
e,4,3,0.8286,0.0080,1,1.750,5.250
e,5,3,0.2034,0.0053,0,1.750,5.250
e,6,3,1.0171,0.0087,1,1.750,5.250
e,1,4,0.9430,0.0077,1,1.750,5.250
e,2,4,0.9347,0.0084,1,1.750,5.250
e,3,4,0.9203,0.0078,1,1.750,5.250
e,4,4,0.9561,0.0082,1,1.750,5.250
e,5,4,0.6273,0.0078,1,1.750,5.250
e,6,4,1.0439,0.0085,1,1.750,5.250
e,1,5,0.9654,0.0080,1,1.750,5.250
e,2,5,0.7895,0.0075,0,1.750,5.250
e,3,5,0.9504,0.0080,1,1.750,5.250
e,4,5,0.9014,0.0079,1,1.750,5.250
e,5,5,0.9960,0.0089,0,1.750,5.250
e,6,5,1.0346,0.0083,1,1.750,5.250
e,1,6,0.9919,0.0088,1,1.750,5.250
e,2,6,0.9150,0.0086,1,1.750,5.250
e,3,6,0.9429,0.0085,1,1.750,5.250
e,4,6,0.7716,0.0078,1,1.750,5.250
e,5,6,1.0081,0.0098,1,1.750,5.250
e,6,6,0.9431,0.0084,1,1.750,5.250
e,1,7,0.9999,0.0097,1,1.750,5.250
e,2,7,0.9367,0.0095,1,1.750,5.250
e,3,7,1.0001,0.0096,1,1.750,5.250
e,4,7,0.8006,0.0088,1,1.750,5.250
e,5,7,0.9343,0.0106,1,1.750,5.250
e,6,7,0.9329,0.0093,1,1.750,5.250
e,1,8,0.8823,0.0094,1,1.750,5.250
e,2,8,0.8576,0.0095,1,1.750,5.250
e,3,8,0.8804,0.0094,1,1.750,5.250
e,4,8,0.8647,0.0097,1,1.750,5.250
e,5,8,0.9854,0.0106,1,1.750,5.250
e,6,8,1.0146,0.0103,1,1.750,5.250
e,1,9,0.9245,0.0108,1,1.750,5.250
e,2,9,0.8919,0.0109,1,1.750,5.250
e,3,9,0.9217,0.0107,1,1.750,5.250
e,4,9,0.9711,0.0115,1,1.750,5.250
e,5,9,0.8859,0.0107,1,1.750,5.250
