particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
e,1,4,0.5825,0.0202,1,1.750,5.250
e,2,4,0.3577,0.0145,1,1.750,5.250
e,3,4,0.5424,0.0165,1,1.750,5.250
e,4,4,1.0061,0.0343,1,1.750,5.250
e,5,4,0.9939,0.0304,1,1.750,5.250
e,6,4,0.7276,0.0286,1,1.750,5.250
e,1,5,1.0712,0.0088,0,1.750,5.250
e,2,5,0.8400,0.0075,0,1.750,5.250
e,3,5,0.9350,0.0079,1,1.750,5.250
e,4,5,0.8126,0.0081,0,1.750,5.250
e,5,5,1.0650,0.0092,1,1.750,5.250
e,6,5,0.9284,0.0085,1,1.750,5.250
e,1,6,0.9907,0.0071,1,1.750,5.250
e,2,6,0.9211,0.0068,1,1.750,5.250
e,3,6,0.9061,0.0068,1,1.750,5.250
e,4,6,0.8442,0.0069,1,1.750,5.250
e,5,6,1.0093,0.0075,1,1.750,5.250
e,6,6,0.8918,0.0067,0,1.750,5.250
e,1,7,1.0232,0.0077,0,1.750,5.250
e,2,7,0.9836,0.0075,1,1.750,5.250
e,3,7,0.9956,0.0076,1,1.750,5.250
e,4,7,0.8750,0.0075,0,1.750,5.250
e,5,7,1.0044,0.0079,1,1.750,5.250
e,6,7,0.9167,0.0073,1,1.750,5.250
e,1,8,1.0016,0.0081,1,1.750,5.250
e,2,8,0.9859,0.0081,1,1.750,5.250
e,3,8,0.9364,0.0078,1,1.750,5.250
e,4,8,0.8966,0.0080,1,1.750,5.250
e,5,8,0.9984,0.0083,1,1.750,5.250
e,6,8,0.9754,0.0081,1,1.750,5.250
e,1,9,1.0085,0.0087,1,1.750,5.250
e,2,9,0.9915,0.0088,1,1.750,5.250
e,3,9,0.9413,0.0085,1,1.750,5.250
e,4,9,0.9199,0.0088,1,1.750,5.250
e,5,9,0.9664,0.0087,1,1.750,5.250
e,6,9,0.9814,0.0088,1,1.750,5.250
e,1,10,1.0050,0.0097,1,1.750,5.250
e,2,10,0.9645,0.0096,1,1.750,5.250
e,3,10,0.9886,0.0096,1,1.750,5.250
e,4,10,0.9950,0.0102,1,1.750,5.250
e,5,10,0.9613,0.0096,1,1.750,5.250
e,6,10,0.9779,0.0097,1,1.750,5.250
e,1,11,1.0194,0.0109,1,1.750,5.250
e,2,11,0.7679,0.0094,0,1.750,5.250
e,3,11,0.3614,0.0064,0,1.750,5.250
e,4,11,0.9664,0.0112,1,1.750,5.250
e,5,11,0.9516,0.0107,1,1.750,5.250
e,6,11,0.9806,0.0109,1,1.750,5.250
e,1,12,0.9959,0.0119,1,1.750,5.250
e,2,12,0.9581,0.0116,1,1.750,5.250
e,3,12,0.9932,0.0119,1,1.750,5.250
e,4,12,0.8489,0.0114,1,1.750,5.250
